epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3096,2.66371,5.68272,2.1396,0.0103,0.33333,0.04217,0.01664,2.85606,4.60782,2.83526,3e-05,3e-05,3e-05
2,11.0519,2.41148,5.24682,1.9873,0.01117,0.44444,0.05966,0.01806,2.84588,4.68179,2.89983,6.9307e-05,6.9307e-05,6.9307e-05
3,12.7537,2.40276,5.30241,2.14785,0.00987,0.66667,0.18549,0.06256,2.64679,4.83717,2.64343,0.000107822,0.000107822,0.000107822
4,14.5078,1.73272,4.49637,1.48047,0.00672,0.66667,0.16465,0.0584,2.54137,4.66659,2.24364,0.000145545,0.000145545,0.000145545
5,16.5611,1.656,4.2187,1.56773,0.01132,0.77778,0.25116,0.08923,2.42646,4.56393,2.19,0.000182476,0.000182476,0.000182476
6,18.9014,1.38087,4.02951,1.3245,0.04538,0.77778,0.38166,0.14715,2.11123,4.36148,1.78647,0.000218615,0.000218615,0.000218615
7,22.1656,1.53034,3.75402,1.44339,0.03221,0.66667,0.38212,0.21767,1.73654,4.07638,1.50513,0.000253962,0.000253962,0.000253962
8,24.8731,1.34802,3.50171,1.3022,0.01517,0.88889,0.61966,0.3957,1.23224,3.68179,1.22391,0.000288517,0.000288517,0.000288517
9,27.7849,1.26913,3.21035,1.26083,0.01513,1,0.57984,0.36237,1.17757,3.56129,1.18492,0.00032228,0.00032228,0.00032228
10,29.9736,1.18066,3.16221,1.26606,0.0098,0.88889,0.60872,0.37573,1.1515,3.50982,1.21213,0.000355251,0.000355251,0.000355251
11,31.6091,1.19997,3.20239,1.17583,0.00763,0.88889,0.52062,0.29569,1.08824,3.53035,1.14341,0.00038743,0.00038743,0.00038743
12,33.2955,1.21828,3.19189,1.2288,0.00813,1,0.53472,0.30224,0.99482,3.48299,1.11639,0.000418817,0.000418817,0.000418817
13,35.0371,1.28481,3.07638,1.18789,0.00783,1,0.68068,0.51737,0.82087,3.27011,1.00623,0.000449412,0.000449412,0.000449412
14,36.7796,1.17107,2.92281,1.10704,0.00768,1,0.68166,0.52622,0.90605,3.22293,1.03552,0.000479215,0.000479215,0.000479215
15,38.5617,1.14056,2.89411,1.14052,0.00748,1,0.63064,0.40967,0.94964,3.23416,1.07843,0.000508226,0.000508226,0.000508226
16,40.7632,1.07782,2.77444,1.13924,0.00761,1,0.65204,0.3929,1.04267,3.18934,1.16318,0.000536445,0.000536445,0.000536445
17,43.1033,1.10404,2.8566,1.11323,0.00786,1,0.74933,0.41095,1.42129,3.24457,1.33635,0.000563872,0.000563872,0.000563872
18,46.0048,1.07367,2.68409,1.08765,0.00781,0.77778,0.17267,0.12022,1.60892,3.89485,1.71426,0.000590507,0.000590507,0.000590507
19,47.9894,1.13054,2.53177,1.16685,0.00626,0.77778,0.21176,0.11317,1.5009,3.77751,1.60138,0.00061635,0.00061635,0.00061635
